model,horizon_h,MAE,RMSE,R2,PI90_Coverage,seed,cutoff_index
ARIMA,3,11.084084337455929,11.929669469250019,-6.037654520934092,,1,84557
ARIMA,6,10.810992767305017,12.309597392036995,-1.1375167579724073,,1,84557
ARIMA,12,7.766862993552631,9.438443303334518,-0.11162274927187821,,1,84557
BiLSTM-Hybrid,3,10.8415601252039,11.916190536213739,-6.021760286033785,,1,84557
BiLSTM-Hybrid,6,10.81821883501681,12.966769953815817,-1.3718402935997265,,1,84557
BiLSTM-Hybrid,12,6.072400968094975,9.23250269064543,-0.06364222307795675,,1,84557
DiffSTG,3,14.493470759547009,14.919553675543899,-10.007350202730326,0.0,1,84557
DiffSTG,6,12.935421978401765,14.227738168019982,-1.855574922256416,0.3333333333333333,1,84557
DiffSTG,12,13.369822892392799,14.056126193153414,-1.4654033303579639,0.6666666666666666,1,84557
ARIMA,3,4.146008534061838,4.891234723893172,-4.666252476788549,,2,82008
ARIMA,6,9.080235097401022,10.708869844276467,-4.320201237499406,,2,82008
ARIMA,12,20.801316882873888,24.591048029997246,-3.6076315478471317,,2,82008
BiLSTM-Hybrid,3,6.404185997534609,7.816099869409009,-13.469019855715258,,2,82008
BiLSTM-Hybrid,6,20.124948380376097,25.29941028663052,-28.69351261681131,,2,82008
BiLSTM-Hybrid,12,39.80503068664805,45.9817076251642,-15.109937605278375,,2,82008
DiffSTG,3,1.0447523623051396,1.3543111856189898,0.5655939713833046,1.0,2,82008
DiffSTG,6,1.4424856734654472,1.8289354868613894,0.8448193549695455,1.0,2,82008
DiffSTG,12,7.858572231128242,11.77133894148617,-0.0557847795359665,0.9166666666666666,2,82008
ARIMA,3,2.0472996990313503,2.205514275840424,-2.127045642030228,,3,87952
ARIMA,6,4.123353888177996,4.73579314604212,-1.2120507451933769,,3,87952
ARIMA,12,10.099892090845087,13.356027861823547,-0.1376094400086887,,3,87952
BiLSTM-Hybrid,3,5.721054221568793,7.6302822625323525,-36.427919046660186,,3,87952
BiLSTM-Hybrid,6,16.01572531085103,19.49644985290522,-36.490454923853484,,3,87952
BiLSTM-Hybrid,12,15.857137826886117,18.25328526724807,-1.1248126181950893,,3,87952
DiffSTG,3,45.193619336268114,45.753477778351055,-1344.7447542376126,0.0,3,87952
DiffSTG,6,34.68833300695555,36.67734913766914,-131.68001597696778,0.3333333333333333,3,87952
DiffSTG,12,38.162175760216165,41.41874864180189,-9.940382392541999,0.4166666666666667,3,87952
ARIMA,3,10.541871514199569,11.218075600074709,-5.223115283081998,,4,87889
ARIMA,6,11.56219388176428,12.894357059541449,-0.41134637661921003,,4,87889
ARIMA,12,11.329496886660484,12.72778951429329,-0.4996794684990171,,4,87889
BiLSTM-Hybrid,3,4.915205668478286,6.959579460765974,-1.3951742661342879,,4,87889
BiLSTM-Hybrid,6,19.173509692977458,27.74189882734473,-5.5329087997356075,,4,87889
BiLSTM-Hybrid,12,35.19420607436015,41.33724625936798,-14.818873781825715,,4,87889
DiffSTG,3,25.032510751048363,25.493151895644605,-31.137951330602597,0.0,4,87889
DiffSTG,6,27.42706779551736,29.226440118720205,-6.2508023750231,0.0,4,87889
DiffSTG,12,29.45442237586593,30.764457139199912,-7.761752653296835,0.0,4,87889
ARIMA,3,0.8446415279141029,1.0153563057609605,0.7790824797895974,,5,88525
ARIMA,6,1.58255516037515,2.093454533283121,0.6065539456726897,,5,88525
ARIMA,12,7.073428406948342,9.118174444115926,-11.3298858371157,,5,88525
BiLSTM-Hybrid,3,30.974591633925844,31.63793842336446,-213.4912459315574,,5,88525
BiLSTM-Hybrid,6,44.809258497998194,47.477977006901234,-201.36832624449454,,5,88525
BiLSTM-Hybrid,12,48.239956496131775,51.39459726964928,-390.7222106131407,,5,88525
DiffSTG,3,58.62881889262297,58.63577803485922,-735.7473855185598,0.0,5,88525
DiffSTG,6,57.21837807350277,57.27783469788018,-293.5312032827848,0.0,5,88525
DiffSTG,12,60.694226837207445,60.859795359602394,-548.2932188822102,0.0,5,88525
ARIMA,3,30.902454986624743,36.49764189985518,-2.509572827356728,,6,98957
ARIMA,6,40.95775734626181,44.35670671517523,-5.704271415255897,,6,98957
ARIMA,12,38.67919650750473,41.46510586262906,-6.709391891784554,,6,98957
BiLSTM-Hybrid,3,22.470016535681978,26.052152341823835,-0.7881826038566664,,6,98957
BiLSTM-Hybrid,6,21.72191735866005,23.735368094038375,-0.9196627683996037,,6,98957
BiLSTM-Hybrid,12,29.199523945320635,30.96715476198758,-3.29988830962529,,6,98957
DiffSTG,3,44.4462273763414,48.155525735808155,-5.109658059141901,0.0,6,98957
DiffSTG,6,49.46018020014103,51.48483294532254,-8.032159852596278,0.0,6,98957
DiffSTG,12,40.25993744290611,43.2447008406658,-7.385333884945043,0.25,6,98957
ARIMA,3,4.36723386592508,4.44455078111173,-87.89314240646402,,7,90766
ARIMA,6,4.022237628173124,4.194349859677903,-5.8840494221052335,,7,90766
ARIMA,12,4.3371604458242645,4.6581109736387605,-3.36384314155541,,7,90766
BiLSTM-Hybrid,3,11.78636314032044,11.809051333671137,-626.5416203057601,,7,90766
BiLSTM-Hybrid,6,8.898541030122717,9.794585515442325,-36.53935429451362,,7,90766
BiLSTM-Hybrid,12,7.605775705798069,8.704357511150553,-14.237822505861617,,7,90766
DiffSTG,3,24.42956504396007,24.432502625043856,-2685.262330352487,0.0,7,90766
DiffSTG,6,23.4030628042113,23.497602068290718,-215.05372724511568,0.0,7,90766
DiffSTG,12,18.975429924310152,19.66429160108883,-76.76892240343854,0.16666666666666666,7,90766
ARIMA,3,0.8882286740913111,1.080316404232216,-0.7506252998798371,,8,87583
ARIMA,6,3.544070919633589,4.524762747727151,-0.10833865449007063,,8,87583
ARIMA,12,30.172079398811118,47.72751612931245,-0.8164393003024868,,8,87583
BiLSTM-Hybrid,3,6.642677074837444,7.031607875414799,-73.16526397039313,,8,87583
BiLSTM-Hybrid,6,19.95063531571149,26.137796613784065,-35.98441928668798,,8,87583
BiLSTM-Hybrid,12,64.51152649095788,82.61411797840758,-4.442416373911507,,8,87583
DiffSTG,3,1.6473888780332449,2.119309725446841,-5.7372105685603465,1.0,8,87583
DiffSTG,6,3.1826155511264695,4.0379667688829635,0.117313800665094,1.0,8,87583
DiffSTG,12,27.28489229122597,43.02839455492973,-0.4763642087247917,0.5,8,87583
ARIMA,3,2.1148022805591986,2.328539952447484,-5.099860598912147,,9,95326
ARIMA,6,1.4789604367981657,1.884426505858095,-2.5510632559805484,,9,95326
